 10:09:13.384  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - ID_EXT: 1452244153380, User: cen80437 ... getErrorMessage start.
 10:09:13.384  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - getErrorMessage: ID_EXT: 1452244153380, User: cen80437, get errId EMC-0115
 10:09:13.384  INFO | cz.ness.documentum.cskld.codetables.data.CsCMessageCodeTable - ID_EXT: 1452244153380, User: cen80437 ... getErrorMessage end [100].
 10:09:13.384  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244153380, User: cen80437 ... createErroOutput end [100].
 10:09:13.385  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244153380, User: cen80437 ... createOkErrorOutput end [100].
 10:09:13.389  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Removing dynamic group cs_superusers_dynamic from session for User: cen80437.
 10:09:13.391  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRelation - ID_EXT: 1452244153380, User: cen80437 ... relationSaveHistory end [100].
 10:09:14.255  INFO | cz.ness.xcp.services.util.user.NessUtilUser - hasUserAccessToPage end. User: bv020866 has access to page cs:application/cs_pa_evid_prt_code
 10:09:17.954  INFO | com.emc.xcp.rest.core.process.controller.ProcessController - startProcess: User: cen77895, Process: cs_cs_sp_record_find_by_duid
 10:09:17.957  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244157957, User: cen77895
 10:09:17.958  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRecord - ID_EXT: 1452244157957, User: cen77895 ... findByDuid start.
 10:09:17.959  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Adding dynamic group cs_superusers_dynamic into session for User: cen77895.
 10:09:17.968  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244157957, User: cen77895 ... validateNumberSeries start.
 10:09:17.970  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboUtils - ID_EXT: 1452244157957, User: cen77895 ... validateNumberSeries end [100].
 10:09:17.971  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Removing dynamic group cs_superusers_dynamic from session for User: cen77895.
 10:09:17.972  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboRecord - ID_EXT: 1452244157957, User: cen77895 ... findByDuid end [100].
 10:09:20.338  INFO | com.emc.xcp.rest.core.process.controller.ProcessController - startProcess: User: cen83360, Process: cs_cs_sp_status_next
 10:09:26.866  INFO | com.emc.xcp.rest.core.process.controller.ProcessController - startProcess: User: cen85552, Process: cs_cs_sp_find_produkt
 10:09:26.870  INFO | cz.ness.documentum.cskld.impl.CsContext - New request context ID_EXT: 1452244166869, User: cen85552
 10:09:26.870  INFO | cz.ness.documentum.cskld.sbo.impl.CsSboSpis - ID_EXT: 1452244166869, User: cen85552 ... findProduct start.
 10:09:26.873  INFO | cz.ness.documentum.cskld.helper.DynamicGroupHelper - Adding dynamic group cs_superusers_dynamic into session for User: cen85552.
 10:09:26.879  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244166869, User: cen85552 ... validateFindProductInput start.
 10:09:26.880  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244166869, User: cen85552 ... validateFindProductId start.
 10:09:26.883  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244166869, User: cen85552 ... validateFindProductId end [100].
 10:09:26.887  INFO | cz.ness.documentum.cskld.sbo.utils.CsSboSpisUtils - ID_EXT: 1452244166869, User: cen85552 ... validateFindProductInput end [100].
 10:09:26.888  INFO | cz.ness.documentum.cskld.sbo.impl.CsPersOrgService - ID_EXT: 1452244166869, User: cen85552 ... searchProduct start.
 10:09:26.927  WARN | cz.ness.documentum.cskld.sbo.helper.HeaderHandler - MSG:<S:Envelope xmlns:S="http://schemas.xmlsoap.org/soap/envelope/" xmlns:SOAP-ENV="http://schemas.xmlsoap.org/soap/envelope/"><SOAP-ENV:Header><mw:MWHeader xmlns:mw="http://schemas.csas.cz/mw/"><mw:msguid>870600115982</mw:msguid><mw:trnsrc>87</mw:trnsrc><mw:trnsrcname>espis</mw:trnsrcname><mw:trnuser>cen85552</mw:trnuser></mw:MWHeader></SOAP-ENV:Header><S:Body><ns0:searchProductInstancePositionRequest xmlns:ns0="http://csas.cz/services/CgpService/v02_04" xmlns:ns12="http://csas.cz/BOM/v02/service/Technical" xmlns:ns13="http://csas.cz/CDM/v02/Products" xmlns:ns14="http://csas.cz/CDM/v02/Steering/Party" xmlns:ns3="http://csas.cz/CDM/v02/CrossDomain/ITSupport" xmlns:ns4="http://csas.cz/CDM/v02/Products/Deposits" xmlns:ns7="http://csas.cz/CDM/v02/Products/Loans" xmlns:ns9="http://csas.cz/CDM/v02/Products/Cards"><ns0:evidenceNumberSearchString>81111-1942200254</ns0:evidenceNumberSearchString><ns0:includeClosedInstances>true</ns0:includeClosedInstances><ns0:includeDeletedRelations>true</ns0:includeDeletedRelations><ns0:includeNotAliveInstances>true</ns0:includeNotAliveInstances><ns0:productRelationship><ns13:relationshipType>espis</ns13:relationshipType></ns0:productRelationship></ns0:searchProductInstancePositionRequest></S:Body></S:Envelope>.
 10:09:27.007  INFO | cz.ness.documentum.cskld.sbo.impl.CsPersOrgService - ID_EXT: 1452244166869, User: cen85552 ... searchProduct end [100].
